trial,num_dims,num_mix_elems,sig_runtime,sig_w2,sig_num_locs,cluster_runtime,cluster_w2,cluster_num_locs
0,3,17,0.003419160842895508,tensor(0.3822),1700,0.3023722171783447,3.2924587726593018,126
1,6,13,0.004766941070556641,tensor(0.9856),1287,0.23484492301940918,7.789956569671631,65
2,2,18,0.0026171207427978516,tensor(0.2048),1800,0.1808631420135498,1.7365672588348389,101
3,1,17,0.0013837814331054688,tensor(0.0220),1700,0.13006091117858887,,101
4,5,15,0.0033998489379882812,tensor(0.8262),1500,0.23484110832214355,3.5150861740112305,244
5,1,12,0.0011010169982910156,tensor(0.0185),1200,0.1215827465057373,1.8742599487304688,101
6,3,20,0.0032057762145996094,tensor(0.3947),2000,0.22976922988891602,2.8130860328674316,126
7,4,14,0.003011941909790039,tensor(0.7100),1400,0.20495104789733887,2.7541186809539795,82
8,5,16,0.003787994384765625,tensor(0.7689),1600,0.25223779678344727,3.567324161529541,244
9,6,20,0.008299589157104492,tensor(0.9602),2000,0.3566620349884033,8.27782917022705,65
10,4,17,0.0037000179290771484,tensor(0.6268),1700,0.23290801048278809,3.4374828338623047,82
11,3,16,0.00275421142578125,tensor(0.4494),1600,0.19890213012695312,2.825209617614746,126
12,5,17,0.004034996032714844,tensor(0.6918),1700,0.2619621753692627,3.5111043453216553,244
13,1,20,0.001505136489868164,tensor(0.0201),2000,0.13638877868652344,,101
14,5,15,0.003571033477783203,tensor(0.8014),1500,0.29343199729919434,3.453975200653076,244
15,4,18,0.004995107650756836,tensor(0.6232),1800,0.2520027160644531,2.985482692718506,82
16,3,15,0.002937793731689453,tensor(0.4767),1500,0.2557830810546875,2.361762523651123,126
17,1,16,0.0012860298156738281,tensor(0.0251),1600,0.12866616249084473,,101
18,1,11,0.001024007797241211,tensor(0.0210),1100,0.11508512496948242,1.2661505937576294,101
19,6,20,0.005576133728027344,tensor(0.9975),2000,0.4097151756286621,7.863518238067627,65
